id,POA_CODE_2016,postcode,region,SSC_CODE_2016,SSC_NAME_2016,state,Dwellings,Population,AREA_SQKM,MB_COUNT,suburb,Town Postcode combo,POA crosses state border,long,lat,regionName,brandName,serviceName
location:2850:aarons-pass,2850,2850,upperhunter,10001,Aarons Pass,New South Wales,24,18,82.7639,5,Aarons Pass,Aarons Pass 2850,,149.8028842,-32.87909794,Upper Hunter,ABC Upper Hunter,local_upperhunter
location:6280:abba-river,6280,6280,southwestwa,50001,Abba River,Western Australia,20,68,28.5156,1,Abba River,Abba River 6280,,115.4884149,-33.68346003,South West WA ,ABC South West WA ,local_southwestwa
location:6280:abbey,6280,6280,southwestwa,50002,Abbey,Western Australia,600,1266,2.6436,20,Abbey,Abbey 6280,,115.2563556,-33.66364012,South West WA ,ABC South West WA ,local_southwestwa
location:3737:abbeyard,3737,3737,goulburnmurray,20001,Abbeyard,Victoria,6,0,300.6619,1,Abbeyard,Abbeyard 3737,,146.7691054,-37.01943187,Goulburn-Murray ,ABC Goulburn-Murray ,local_goulburnmurray
location:3740:abbeyard,3740,3740,goulburnmurray,20001,Abbeyard,Victoria,0,0,26.8389,1,Abbeyard,Abbeyard 3740,,146.7691054,-37.01943187,Goulburn-Murray ,ABC Goulburn-Murray ,local_goulburnmurray
location:4613:abbeywood,4613,4613,widebay,30001,Abbeywood,Queensland,12,23,35.0348,1,Abbeywood,Abbeywood 4613,,151.6412585,-26.10503695,Wide Bay,ABC Wide Bay,local_widebay
location:2176:abbotsbury,2176,2176,sydney,10002,Abbotsbury,New South Wales,1245,4252,4.9788,40,Abbotsbury,Abbotsbury 2176,,150.861201,-33.87009024,Sydney,ABC Radio Sydney,local_sydney
location:2046:abbotsford,2046,2046,sydney,10003,Abbotsford (NSW),New South Wales,2526,5392,1.018,73,Abbotsford,Abbotsford 2046,,151.1292438,-33.85061133,Sydney,ABC Radio Sydney,local_sydney
location:3067:abbotsford,3067,3067,melbourne,20002,Abbotsford (Vic.),Victoria,4380,8173,1.7405,110,Abbotsford,Abbotsford 3067,,144.9997556,-37.80458883,Melbourne,ABC Radio Melbourne,local_melbourne
location:4670:abbotsford,4670,4670,widebay,30002,Abbotsford (Qld),Queensland,4,3,85.7638,4,Abbotsford,Abbotsford 4670,,152.0105625,-24.83104935,Wide Bay,ABC Wide Bay,local_widebay
location:7315:abbotsham,7315,7315,northtas,60001,Abbotsham,Tasmania,40,92,8.1551,2,Abbotsham,Abbotsham 7315,,146.1821588,-41.21411879,Northern Tasmania,ABC Northern Tasmania,local_northtas
location:7112:abels-bay,7112,7112,hobart,60002,Abels Bay,Tasmania,80,120,5.2105,3,Abels Bay,Abels Bay 7112,,147.1073466,-43.22951837,Hobart,ABC Radio Hobart,local_hobart
location:4627:abercorn,4627,4627,widebay,30003,Abercorn,Queensland,25,46,94.2732,2,Abercorn,Abercorn 4627,,151.1476934,-25.13678757,Wide Bay,ABC Wide Bay,local_widebay
location:2795:abercrombie,2795,2795,centralwest,10004,Abercrombie,New South Wales,379,1103,2.9775,11,Abercrombie,Abercrombie 2795,,149.5564295,-33.38997451,Central West,ABC Central West,local_centralwest
location:2795:abercrombie-river,2795,2795,centralwest,10005,Abercrombie River,New South Wales,21,22,127.1701,1,Abercrombie River,Abercrombie River 2795,,149.347666,-33.91034389,Central West,ABC Central West,local_centralwest
location:2325:aberdare,2325,2325,newcastle,10006,Aberdare,New South Wales,1041,2489,3.2961,28,Aberdare,Aberdare 2325,,151.3816819,-32.84112405,Newcastle,ABC Newcastle,local_newcastle
location:2336:aberdeen,2336,2336,upperhunter,10007,Aberdeen (NSW),New South Wales,957,2098,41.6327,38,Aberdeen,Aberdeen 2336,,150.8916112,-32.17382644,Upper Hunter,ABC Upper Hunter,local_upperhunter
